Facility ID,Facility Name,City/Town,County/Parish,State,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating
390198,LECOM MEDICAL CENTER AND BEHAVIORAL HEALTH PAV,ERIE,ERIE,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0
390201,LEHIGH VALLEY HOSPITAL - POCONO,EAST STROUDSBURG,MONROE,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0
390203,DOYLESTOWN HOSPITAL,DOYLESTOWN,BUCKS,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0
390204,NAZARETH HOSPITAL,PHILADELPHIA,PHILADELPHIA,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0
390211,SHARON REGIONAL MEDICAL CENTER,SHARON,MERCER,PA,Acute Care Hospitals,Proprietary,Yes,2.0
390219,EXCELA HEALTH LATROBE HOSPITAL,LATROBE,WESTMORELAND,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0
390222,RIDDLE MEMORIAL HOSPITAL,MEDIA,DELAWARE,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0
390223,PENN PRESBYTERIAN MEDICAL CENTER,PHILADELPHIA,PHILADELPHIA,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,5.0
390225,WELLSPAN EPHRATA COMMUNITY HOSPITAL,EPHRATA,LANCASTER,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4.0
390226,PENNSYLVANIA HOSPITAL,PHILADELPHIA,PHILADELPHIA,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0
390228,ST CLAIR HOSPITAL,PITTSBURGH,ALLEGHENY,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0
390231,JEFFERSON ABINGTON HOSPITAL,ABINGTON,MONTGOMERY,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0
390233,UPMC HANOVER,HANOVER,YORK,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0
390237,REGIONAL HOSPITAL OF SCRANTON,SCRANTON,LACKAWANNA,PA,Acute Care Hospitals,Proprietary,Yes,3.0
390256,MILTON S HERSHEY MEDICAL CENTER,HERSHEY,DAUPHIN,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0
390258,ST MARY MEDICAL CENTER,LANGHORNE,BUCKS,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0
390265,JEFFERSON HOSPITAL,JEFFERSON HILLS,ALLEGHENY,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0
390267,FORBES HOSPITAL,MONROEVILLE,ALLEGHENY,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0
390268,MOUNT NITTANY MEDICAL CENTER,STATE COLLEGE,CENTRE,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5.0
390270,GEISINGER WYOMING VALLEY MEDICAL CENTER,WILKES BARRE,LUZERNE,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0
390326,ST LUKE'S HOSPITAL - ANDERSON CAMPUS,EASTON,NORTHAMPTON,PA,Acute Care Hospitals,Voluntary non-profit - Private,No,5.0
390328,UPMC EAST,MONROEVILLE,ALLEGHENY,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0
390329,JEFFERSON EINSTEIN MONTGOMERY HOSPITAL,EAST NORRITON,MONTGOMERY,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0
390330,ST LUKE'S HOSPITAL - MONROE CAMPUS,STROUDSBURG,MONROE,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0
390332,GEISINGER ST. LUKE'S  HOSPITAL,ORWIGSBURG,SCHUYLKILL,PA,Acute Care Hospitals,Voluntary non-profit - Private,No,4.0
390334,AHN WEXFORD HOSPITAL,WEXFORD,ALLEGHENY,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5.0
390335,ST LUKE'S HOSPITAL - CARBON CAMPUS,LEHIGHTON,CARBON,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0
390338,LEHIGH VALLEY HOSPITAL - DICKSON CITY,DICKSON CITY,LACKAWANNA,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0
390339,PENN STATE HEALTH LANCASTER MEDICAL CENTER,LANCASTER,LANCASTER,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0
391300,GEISINGER JERSEY SHORE HOSPITAL,JERSEY SHORE,LYCOMING,PA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4.0
391303,FULTON COUNTY MEDICAL CENTER,MCCONNELLSBURG,FULTON,PA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3.0
391305,TROY COMMUNITY HOSPITAL,TROY,BRADFORD,PA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3.0
391306,ENDLESS MOUNTAINS HEALTH SYSTEMS,MONTROSE,SUSQUEHANNA,PA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3.0
391313,UPMC COLE,COUDERSPORT,POTTER,PA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4.0
391315,PENN HIGHLANDS ELK,SAINT MARYS,ELK,PA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3.0
391316,UPMC WELLSBORO,WELLSBORO,TIOGA,PA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3.0
